"Sample Count","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Life Fit Hybrid Min","Life Fit Hybrid Max","Life Fit Hybrid Avg","Life Fit Hybrid Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence",
"184","2","8","7.320001","7","0","9","5.420002","9","0","6","3.689999","3","0","9","4.070001","4","1511",
"185","5","8","7.360000","8","0","9","4.960000","7","0","6","3.690000","2","0","10","3.870000","4","1513",
"186","1","8","7.380000","7","0","9","5.250000","5","0","6","3.710000","5","0","10","4.100000","5","1514",
"187","6","8","7.500000","7","0","9","5.640001","8","0","6","3.729999","4","0","10","4.140003","1","1516",
"188","5","8","7.400000","8","0","9","5.180000","5","0","6","3.830000","5","0","10","3.680000","0","1517",
"189","5","8","7.419998","8","0","9","5.040000","0","0","6","3.430000","0","0","10","4.130000","7","1519",
"190","6","8","7.419999","8","0","9","5.470000","8","0","6","3.779999","4","0","10","3.830000","5","1520",
"191","4","8","7.440000","8","0","9","5.150000","7","0","6","3.760000","5","0","9","4.020000","5","1522",
"192","7","8","7.609999","7","0","9","5.419999","5","0","6","3.350000","4","0","10","4.130000","0","1523",
"193","3","8","7.490000","8","0","9","5.349999","7","0","6","3.560000","5","0","10","3.980000","0","1525",
"194","5","8","7.570001","7","0","9","5.130002","5","0","6","3.700000","0","0","10","4.400000","3","1526",
"195","5","8","7.489999","8","0","9","5.170000","6","0","6","3.740000","5","0","9","4.089999","5","1528",
"196","4","8","7.449999","7","0","9","4.920001","8","0","6","3.530000","4","0","9","3.319999","4","1529",
"197","4","8","7.550000","4","0","9","5.530001","7","0","6","3.630000","5","0","10","3.750000","2","1531",
"198","2","8","7.480000","8","0","9","5.700001","9","0","6","3.489999","3","0","10","3.890000","0","1532",
"199","3","8","7.439999","6","0","9","5.320000","5","0","6","3.630001","0","0","10","3.950000","0","1534",
"200","5","8","7.580000","7","0","9","5.560000","7","0","6","4.040002","5","0","10","3.850000","4","1535",
"201","6","8","7.570001","7","0","9","5.630002","3","0","6","3.610000","5","0","9","3.810000","2","1536",
"202","3","8","7.349998","8","0","9","5.330000","7","0","6","3.899999","2","0","10","4.050000","6","1538",
