"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"28","15","28","23.799999","22","1","5","3.700000","4","5","5","5.000000","5","1","5","3.800000","5","2","3","2.400000","2","1","3","2.100000","2","3","5","3.600000","3","40","-47","150",
"29","19","29","24.699997","29","1","10","4.500000","4","5","5","5.000000","5","1","5","3.700000","5","1","3","2.400000","3","2","3","2.600000","3","3","5","4.100000","3","45","-41","162",
"30","11","30","24.300001","11","1","10","4.700000","2","5","5","5.000000","5","2","5","4.400000","2","1","3","2.300000","2","2","4","2.700000","2","3","5","4.099999","5","50","-33","173",
"31","4","31","21.000000","28","3","9","5.100000","4","5","5","5.000000","5","1","5","3.500000","5","1","3","2.500000","1","2","3","2.700000","2","1","5","3.600000","1","55","-25","185",
"32","18","32","27.100000","24","3","6","4.099999","3","5","6","5.100000","5","1","5","3.900000","5","1","3","2.400000","3","1","3","2.500000","1","1","5","3.500000","5","61","-17","198",
"33","17","32","27.199999","30","1","11","5.500000","7","5","5","5.000000","5","1","5","3.900000","5","2","3","2.500000","3","2","3","2.600000","3","2","5","3.300000","5","67","-8","211",
"34","16","34","27.600000","34","1","6","3.100000","5","5","6","5.200000","5","3","6","3.900000","3","2","3","2.600000","2","2","3","2.500000","3","3","6","4.000000","4","74","1","224",
"35","12","34","25.600000","21","4","12","6.500000","8","5","6","5.200000","6","3","5","4.100000","3","2","3","2.500000","2","1","3","2.600000","2","1","5","3.400000","2","81","12","238",
"36","19","36","27.100004","36","3","8","4.400000","6","5","6","5.200000","6","2","6","4.200000","5","2","3","2.700000","2","1","3","2.400000","3","1","5","3.300000","2","88","23","252",
"37","24","36","29.400002","36","2","5","3.200000","4","5","6","5.300000","6","3","7","4.700000","3","2","3","2.800000","2","2","3","2.600000","2","1","5","3.400000","1","96","34","267",
"38","22","38","31.100000","32","1","8","5.000000","4","5","6","5.500000","5","3","5","4.400000","5","1","3","2.400000","2","1","3","2.600000","2","2","5","4.100000","4","104","47","281",
"39","18","39","32.999996","31","1","8","3.700000","8","5","6","5.400000","5","1","5","3.900000","3","2","3","2.800000","3","2","5","3.000000","5","2","5","3.700000","4","113","60","297",
"40","10","37","29.200001","32","1","7","4.600000","6","4","6","5.300000","6","1","5","4.100000","5","2","5","3.000000","3","1","3","2.700000","3","1","5","3.800000","5","122","73","313",
"41","24","41","29.999998","37","2","11","5.000000","2","5","6","5.500000","5","1","5","3.900000","5","2","3","2.900000","3","1","3","2.200000","3","2","5","3.500000","3","131","87","329",
"42","8","42","29.499998","40","1","12","5.000000","2","5","6","5.700000","5","3","5","4.600000","4","2","3","2.700000","3","2","3","2.600000","2","1","6","3.600000","1","142","102","345",
"43","27","42","34.200001","37","1","8","4.300000","5","5","6","5.300000","5","1","5","3.700000","5","1","3","2.600000","3","1","4","2.600000","3","3","6","4.200000","4","152","117","362",
"44","18","44","36.100002","37","3","13","6.900000","7","5","6","5.700000","5","3","6","4.700000","6","2","3","2.800000","2","2","3","2.700000","3","1","6","3.300000","4","163","133","380",
"45","17","45","33.899998","41","1","11","5.300000","9","5","6","5.600000","5","3","5","4.700000","5","2","4","2.900000","3","1","4","2.600000","3","2","5","4.200000","5","175","150","397",
"46","21","45","38.299999","36","3","12","5.800000","5","5","6","5.600000","6","1","5","3.700000","4","2","3","2.700000","3","2","3","2.800000","3","3","5","4.200000","4","187","167","415",
"47","20","47","34.199997","45","3","14","6.000000","4","5","6","5.800000","6","3","5","4.600001","3","2","3","2.600000","3","2","3","2.600000","3","1","5","3.500000","4","200","185","434",
"48","20","47","39.399998","46","3","11","6.200000","6","5","6","5.900000","6","3","5","4.300000","5","2","3","2.700000","3","1","3","2.400000","3","4","5","4.600000","4","214","203","453",
"49","29","49","38.599995","48","3","9","4.800000","3","5","6","5.900000","6","4","7","4.800000","5","2","4","2.900000","3","1","3","2.700000","3","3","5","4.100000","4","227","222","472",
"50","10","43","27.600000","10","1","11","4.200000","4","5","6","5.700000","6","1","5","4.300000","4","2","3","2.800000","3","2","3","2.700000","3","1","5","3.500000","5","242","241","492",
"51","32","51","43.900002","47","2","13","7.200000","7","5","6","5.800000","6","1","7","4.100000","4","2","4","2.700000","2","2","3","2.700000","2","2","5","4.100000","5","257","262","512",
"52","21","52","38.700001","51","2","11","5.800000","7","5","6","5.700000","6","2","7","4.400001","4","1","3","2.200000","2","2","4","2.900000","2","3","6","4.400000","4","273","283","533",
"53","25","49","37.099998","49","2","8","4.400000","2","5","6","5.700000","6","4","5","4.900000","5","3","3","3.000000","3","1","4","2.600000","3","1","5","3.500000","2","289","304","554",
"54","28","53","43.599998","47","1","15","6.199999","5","5","6","5.900000","6","2","5","3.600000","5","2","3","2.700000","3","2","4","2.800000","3","1","5","3.500000","3","306","326","575",
"55","29","51","46.500000","47","1","15","6.400001","3","6","6","6.000000","6","3","7","4.700001","4","2","3","2.900000","2","1","4","2.600000","4","3","6","4.600000","5","324","349","597",
"56","35","55","49.299999","53","1","10","4.500000","4","5","6","5.900000","6","3","5","4.500000","5","2","5","3.300000","3","1","4","2.800000","3","3","6","4.600000","4","342","372","620",
"57","29","57","46.199993","48","3","8","5.000000","6","5","6","5.900000","6","3","5","4.700000","5","2","3","2.800000","3","2","3","2.800000","3","2","6","3.700000","3","361","396","642",
"58","33","58","50.200001","54","4","8","6.100000","5","5","6","5.900000","5","1","5","4.200000","5","2","3","2.700000","3","1","3","2.400000","2","1","5","3.300000","2","381","420","665",
