"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"33","2","31","11.099999","9","2","2","2.000000","2","5","5","5.000000","5","1","3","2.800000","1","2","3","2.900000","3","1","3","2.700000","2","1","6","4.000000","6","646","645","644",
"34","3","24","12.800000","13","2","2","2.000000","2","5","6","5.100000","5","2","3","2.900000","3","1","2","1.900000","2","1","2","1.800000","2","4","6","5.300000","6","666","665","664",
"35","5","34","21.400002","26","2","2","2.000000","2","4","6","5.000000","4","1","3","2.800000","3","1","3","2.700000","3","2","3","2.900000","3","2","6","4.700000","5","686","686","684",
"36","2","36","23.600002","36","1","2","1.900000","2","5","5","5.000000","5","3","3","3.000000","3","2","3","2.100000","2","1","2","1.900000","2","2","6","4.200000","4","707","706","705",
"37","5","36","22.999998","9","1","2","1.900000","2","5","6","5.500000","6","2","3","2.900000","3","2","3","2.800000","3","1","4","2.700000","3","4","6","4.700000","6","727","726","725",
"38","4","37","21.400002","37","0","2","1.800000","2","5","6","5.200000","5","3","3","3.000000","3","2","2","2.000000","2","2","2","2.000000","2","2","7","5.000000","4","747","746","745",
"39","2","30","15.099999","4","2","2","2.000000","2","5","6","5.500000","5","1","3","2.600000","1","2","3","2.800000","2","1","3","2.800000","3","1","6","3.900000","4","767","766","765",
"40","9","38","25.000000","33","2","2","2.000000","2","5","6","5.500000","5","3","3","3.000000","3","2","3","2.100000","2","1","2","1.900000","2","1","6","4.400000","6","787","787","785",
"41","8","36","21.400000","20","1","2","1.900000","2","5","6","5.300000","6","1","3","2.800000","3","7","13","11.400001","11","5","17","8.800000","11","5","6","5.200000","5","808","807","805",
"42","3","42","23.900002","42","2","2","2.000000","2","5","6","5.500000","6","3","3","3.000000","3","1","2","1.900000","2","1","2","1.700000","2","2","7","4.600000","6","828","827","826",
"43","16","43","28.399998","17","2","2","2.000000","2","5","6","5.400000","6","1","3","2.800000","3","1","3","2.800000","3","2","3","2.800000","3","3","7","5.100000","5","848","847","846",
"44","6","42","20.800003","21","1","2","1.900000","2","5","6","5.700000","6","3","3","3.000000","3","1","2","1.900000","2","1","3","2.000000","3","5","7","5.599999","6","868","867","866",
"45","4","39","23.099998","35","2","2","2.000000","2","5","6","5.700000","6","2","3","2.900000","3","3","3","3.000000","3","1","3","2.700000","3","4","7","5.699999","7","888","888","886",
"46","5","43","26.299999","37","1","2","1.900000","2","5","6","5.600000","5","1","3","2.600000","2","2","2","2.000000","2","2","2","2.000000","2","1","7","4.700000","7","909","908","906",
"47","21","47","31.799997","33","1","2","1.800000","2","4","6","5.500000","6","1","3","2.700000","3","3","3","3.000000","3","2","3","2.900000","3","4","7","5.900000","5","929","928","927",
"48","3","40","19.299999","5","2","2","2.000000","2","5","6","5.599999","6","0","3","2.500000","3","2","2","2.000000","2","2","2","2.000000","2","1","7","4.600000","6","949","948","947",
"49","7","48","27.300001","20","2","2","2.000000","2","5","6","5.700000","6","3","3","3.000000","3","2","5","3.100000","5","1","4","2.900000","3","1","7","4.500000","2","969","968","967",
"50","4","44","24.000000","39","2","2","2.000000","2","5","6","5.599999","6","0","3","2.600000","3","2","2","2.000000","2","2","2","2.000000","2","1","7","5.199999","2","989","988","987",
"51","2","51","32.899998","22","1","2","1.900000","2","5","6","5.900000","6","3","3","3.000000","3","6","11","7.699999","6","4","10","6.200000","8","5","6","5.700000","6","1010","1009","1007",
"52","8","51","29.500002","51","2","2","2.000000","2","5","6","5.800000","6","3","3","3.000000","3","1","2","1.800000","2","2","3","2.100000","2","1","6","3.800000","3","1030","1029","1028",
"53","5","53","35.400002","52","2","2","2.000000","2","5","6","5.800000","6","1","3","2.800000","3","3","3","3.000000","3","2","3","2.900000","3","4","7","5.400000","5","1050","1049","1048",
"54","9","53","32.799999","53","2","2","2.000000","2","5","6","5.900000","6","1","3","2.700000","3","2","2","2.000000","2","1","2","1.900000","2","2","7","4.600000","4","1070","1069","1068",
"55","13","55","29.900003","17","1","2","1.800000","1","5","6","5.700000","6","3","3","3.000000","3","3","3","3.000000","3","2","3","2.900000","2","3","7","5.800000","7","1090","1090","1088",
"56","2","55","24.900002","10","2","2","2.000000","2","5","6","5.900000","6","1","3","2.800000","3","1","2","1.900000","2","2","2","2.000000","2","1","6","3.900000","6","1111","1110","1108",
"57","2","43","20.699999","2","2","2","2.000000","2","6","6","6.000000","6","3","3","3.000000","3","2","4","3.000000","3","3","4","3.100000","3","1","7","4.600000","3","1131","1130","1129",
"58","5","58","30.099997","28","1","2","1.900000","2","6","6","6.000000","6","1","3","2.800000","3","1","2","1.900000","2","2","2","2.000000","2","3","7","5.500000","7","1151","1150","1149",
"59","4","56","32.900005","17","2","2","2.000000","2","6","6","6.000000","6","3","3","3.000000","3","2","3","2.900000","3","3","3","3.000000","3","3","7","6.100000","7","1171","1170","1169",
"60","18","59","38.700001","38","2","2","2.000000","2","6","6","6.000000","6","1","3","2.800000","1","2","2","2.000000","2","2","2","2.000000","2","1","7","5.200000","4","1191","1191","1189",
"61","2","60","29.200003","47","2","2","2.000000","2","5","6","5.800000","6","1","3","2.800000","3","3","3","3.000000","3","2","3","2.900000","3","3","8","6.100000","6","1212","1211","1209",
"62","4","60","34.099998","16","2","2","2.000000","2","6","6","6.000000","6","3","3","3.000000","3","2","2","2.000000","2","1","2","1.700000","2","2","7","5.500000","7","1232","1231","1230",
"63","9","62","38.400002","41","2","2","2.000000","2","6","6","6.000000","6","1","3","2.800000","3","1","3","2.800000","3","3","3","3.000000","3","2","7","5.000000","7","1252","1251","1250",
"64","2","63","37.399998","53","2","2","2.000000","2","6","6","6.000000","6","3","3","3.000000","3","2","2","2.000000","2","1","2","1.900000","2","1","7","5.500000","1","1272","1271","1270",
"65","2","58","27.299999","2","2","2","2.000000","2","3","7","5.699999","7","1","3","2.800000","3","3","4","3.100000","3","2","3","2.800000","2","2","7","5.199999","2","1292","1292","1290",
"66","7","65","28.000002","65","1","2","1.800000","2","6","6","6.000000","6","2","3","2.900000","3","2","2","2.000000","2","2","2","2.000000","2","3","7","5.700000","5","1313","1312","1311",
"67","7","67","33.300003","45","2","2","2.000000","2","6","7","6.100000","6","3","3","3.000000","3","2","3","2.900000","3","3","3","3.000000","3","1","7","4.600000","6","1333","1332","1331",
"68","18","64","45.899998","44","1","2","1.900000","2","6","7","6.299999","6","3","3","3.000000","3","2","2","2.000000","2","1","2","1.900000","2","1","7","4.500000","7","1353","1352","1351",
