"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Line Fit Hybrid Min","Line Fit Hybrid Max","Line Fit Hybrid Avg","Line Fit Hybrid Single","Quadratic Fit Min","Quadratic Fit Max","Quadratic Fit Avg","Quadratic Fit Single","Quadratic Fit (Non Monotonic) Min","Quadratic Fit (Non Monotonic) Max","Quadratic Fit (Non Monotonic) Avg","Quadratic Fit (Non Monotonic) Single","Gradient Min","Gradient Max","Gradient Avg","Gradient Single","Sequence","Quadratic Fit (Non Monotonic) Fit","Gradient Fit",
"28","5","27","16.599998","20","6","26","17.600000","25","5","5","5.000000","5","1","7","4.100000","1","3","13","6.600000","5","2","14","7.599999","7","4","8","5.599999","6","545","-23215","15270",
"29","3","29","16.000000","19","3","25","12.199999","8","4","5","4.900000","5","3","7","5.400001","5","3","14","5.900001","4","2","14","5.000000","3","4","7","5.300000","4","565","-22955","16402",
"30","9","27","20.500000","26","7","28","17.100002","7","5","5","5.000000","5","3","7","5.400001","3","2","13","6.600000","3","2","12","5.099999","5","2","7","5.100000","5","585","-22614","17573",
"31","2","31","16.400000","10","3","28","16.000000","22","5","5","5.000000","5","4","8","6.600000","7","2","15","5.600000","6","3","14","5.900000","4","4","8","5.900001","4","606","-22194","18785",
"32","3","32","13.500000","4","1","30","16.500000","1","5","6","5.100000","5","4","8","5.600000","5","2","12","6.000000","11","2","14","4.500000","14","4","7","5.600000","6","626","-21694","20038",
"33","5","27","12.199999","27","1","31","19.000002","6","5","6","5.200000","5","1","8","5.000001","5","2","12","5.800000","4","3","5","4.000000","3","4","8","5.900000","6","646","-21114","21331",
"34","5","33","18.500002","10","3","29","14.500000","15","5","6","5.400000","5","3","8","5.400000","7","2","17","9.200000","2","2","17","6.000000","3","4","7","6.099999","7","666","-20454","22664",
"35","5","27","14.700001","6","6","30","18.600000","13","3","6","5.000000","6","3","7","4.900001","7","2","17","8.400001","16","2","14","6.200000","4","4","7","5.500001","6","686","-19713","24038",
"36","3","34","22.299999","34","4","34","20.099998","10","5","6","5.300000","6","3","7","5.200000","5","2","18","7.599999","3","3","17","6.800001","3","4","7","5.500000","5","707","-18893","25452",
"37","2","34","19.000002","17","5","32","19.500000","32","5","6","5.200000","6","1","9","5.800000","5","1","16","7.900000","13","3","17","6.400000","9","4","8","6.700000","6","727","-17993","26907",
"38","5","36","21.900000","16","3","29","16.500000","20","5","6","5.400000","5","3","7","5.700001","5","3","13","7.400000","8","2","19","11.799999","17","4","8","6.600000","8","747","-17013","28401",
"39","11","38","24.100000","16","1","37","17.700001","7","5","6","5.600000","6","3","7","5.200000","3","4","19","9.999999","4","3","17","7.200000","6","4","7","5.400000","5","767","-15953","29937",
"40","2","39","19.100000","39","5","38","19.799999","10","5","6","5.400000","5","3","9","5.700000","5","4","17","6.800000","4","2","20","6.500000","4","4","8","5.900000","7","787","-14812","31513",
"41","2","40","20.700003","7","5","37","18.499998","16","4","6","5.300000","5","3","9","5.200000","5","4","20","8.599999","4","2","11","7.700000","11","4","7","6.200000","5","808","-13592","33129",
"42","3","37","18.600000","37","6","40","22.900000","17","5","6","5.400000","6","5","8","5.500000","5","3","21","10.000000","4","2","16","5.000000","4","4","8","6.300000","5","828","-12292","34785",
"43","7","43","16.900000","8","6","41","19.200001","11","5","6","5.200000","5","3","7","5.400000","5","4","21","9.999999","19","2","20","5.900000","20","5","8","6.900000","7","848","-10912","36482",
"44","2","44","26.600000","10","3","42","25.599998","29","5","6","5.500000","5","3","9","6.100000","5","3","22","8.400001","22","4","22","8.000000","4","5","8","7.200000","8","868","-9452","38220",
"45","1","44","28.100000","33","1","43","21.400000","30","5","6","5.700000","6","1","9","5.400000","9","2","20","8.199999","4","2","22","9.199999","4","2","8","6.200000","7","888","-7912","39997",
"46","2","39","14.800000","2","1","34","18.400000","20","5","6","5.800000","6","4","9","6.000000","5","2","15","6.900001","3","2","22","7.400000","4","5","8","7.000000","5","909","-6291","41815",
"47","2","47","30.799997","8","2","43","24.900000","10","5","6","5.600000","6","3","9","5.200000","5","3","23","6.800001","6","3","23","12.200001","9","5","8","5.700000","5","929","-4591","43674",
"48","8","42","27.299997","29","4","46","19.899998","4","5","6","5.599999","6","5","9","6.900000","7","4","24","8.000000","4","4","24","13.199999","24","3","9","6.100001","9","949","-2811","45573",
"49","12","45","25.100000","16","1","47","20.699999","35","5","6","5.500000","6","3","9","6.599999","7","4","24","10.999999","4","3","24","9.800000","3","3","8","6.500000","8","969","-951","47512",
"50","5","44","23.400000","5","11","39","23.500000","36","6","6","6.000000","6","5","7","6.000000","7","3","23","11.099999","4","2","17","5.100000","4","5","9","6.600000","9","989","989","49492",
"51","5","43","22.599998","5","3","41","19.299997","24","5","6","5.800000","6","5","9","6.000001","8","2","25","11.799999","10","2","23","10.200000","21","5","8","6.100000","5","1010","3009","51512",
"52","6","46","30.200003","32","1","50","33.799999","36","5","6","5.700000","6","5","9","6.300000","5","2","22","9.300000","6","2","24","6.600000","4","4","9","6.000000","4","1030","5109","53573",
"53","2","52","23.500000","26","4","51","21.299999","18","5","6","5.800000","6","1","7","5.200000","5","4","22","9.199999","4","2","26","11.799998","4","5","8","6.000000","8","1050","7289","55674",
"54","8","46","30.299999","44","3","52","20.900002","6","6","6","6.000000","6","3","9","6.000000","7","4","20","10.200000","4","4","27","16.400000","22","5","8","6.000000","5","1070","9549","57815",
"55","3","54","26.999998","6","9","51","30.000000","23","5","6","5.900000","6","5","10","5.900000","5","2","21","11.099999","9","2","27","8.099999","15","5","8","6.600000","5","1090","11890","59997",
"56","5","52","24.799999","25","24","54","38.400002","34","6","6","6.000000","6","5","10","7.300000","6","4","28","12.499999","4","2","28","7.400000","8","4","8","6.000000","5","1111","14310","62220",
"57","4","56","32.199997","15","3","42","26.500000","12","5","6","5.800000","6","5","9","6.700000","5","2","28","9.300000","3","4","21","6.900000","12","4","8","5.600000","5","1131","16810","64482",
"58","2","58","23.600000","22","10","45","24.600000","31","5","6","5.800000","6","5","9","7.200000","5","4","25","13.800000","20","2","24","6.400000","2","2","8","5.300001","5","1151","19390","66785",
"59","1","54","26.899998","34","4","56","24.400000","4","5","6","5.900000","6","5","10","6.100000","5","4","29","12.000000","29","2","28","15.000000","7","4","8","6.200000","5","1171","22050","69129",
"60","2","56","26.599998","6","16","51","27.999998","23","6","6","6.000000","6","4","5","4.800001","5","2","16","5.700000","4","4","28","14.599999","4","5","9","6.700000","9","1191","24791","71512",
"61","4","58","32.700001","4","1","57","25.000000","3","6","6","6.000000","6","1","10","7.000000","5","3","18","7.500001","4","2","20","8.000001","2","5","7","6.100000","7","1212","27611","73937",
"62","11","55","31.699999","11","6","54","32.299999","51","6","6","6.000000","6","3","10","6.600000","5","2","31","6.500000","9","2","31","9.500000","4","4","9","6.000000","7","1232","30511","76401",
"63","4","62","38.299999","47","1","58","35.299999","37","6","6","6.000000","6","3","7","5.200000","7","2","22","9.800000","8","2","22","9.500000","4","5","9","6.600000","5","1252","33491","78906",
"64","2","62","35.799999","36","2","61","31.299999","52","6","6","6.000000","6","3","9","6.200000","5","3","21","10.900000","16","4","28","14.099998","14","5","9","6.899999","6","1272","36551","81452",
